ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
0446612928,The Rules of Silence,David Lindsey,2004,Warner Books
1551668262,Wager,Metsy Hingle,2001,Mira
0743467280,Remember When,Judith McNaught,2003,Pocket
0061098957,"Chyna, The 9th Wonder of the World: If They Only Knew",Joanie Laurer,2001,ReganBooks
0671737864,LOVE KILLERS,Jackie Collins,1991,Pocket
0061092096,Love in Another Town,Barbara Taylor Bradford,1996,HarperTorch
034530358X,Tender Warrior,Fern Michaels,1991,Ivy Books
055356370X,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,1993,Spectra Books
3453171632,Rachel im Wunderland.,Marian Keyes,2000,Heyne
0312144350,Topping From Below,Laura Reese,1996,St. Martin's Griffin
0553299689,The Tiger Prince,IRIS JOHANSEN,1992,Fanfare
0886778476,Catfantastic V,Andre Norton,1999,Daw Books
0671648152,SEEDS OF YESTERDY (Dollanger Saga (Paperback)),V. C. Andrews,1987,Pocket
0373484771,Overload / If A Man Answers,Linda Howard,2002,Silhouette
0525947531,The Ig Nobel Prizes: The Annals of Improbable Research,Marc Abrahams,2003,Dutton Books
0471295639,Against the Gods: The Remarkable Story of Risk,Peter L.  Bernstein,1998,Wiley
0345405013,The Proud Tower: A Portrait of the World Before the War 1890-1914,Barbara W. Tuchman,1996,Ballantine Books
0141001445,The Malcontenta: A Kathy and Brock Mystery (Kathy and Brock Mysteries),Barry Maitland,2001,Penguin Books
0142000825,The Chalon Heads (Kathy and Brock Mysteries),Barry Maitland,2002,Penguin Books
0425174255,The Cat Who...Companion,Sharon A. Feaster,1998,Berkley Trade
0380976595,He Shall Thunder In The Sky: An Amelia Peabody Mystery,Elizabeth Peters,2000,William Morrow &amp; Company
044922113X,Knockdown,Dick Francis,1993,Fawcett Books
0865714088,Divorce Your Car! : Ending the Love Affair with the Automobile,Katharine T. Alvord,2000,New Society Publishers
0812580036,Oliver Twist,Charles Dickens,1998,Tor Books
0385073534,"The Foxfire Book : Hog Dressing, Log Cabin Building, Mountain Crafts and Foods, Planting by theSigns, Snake Lore, Hunting Tales, Faith Healing, Moonshining",ELIOT WIGGINTON,1972,Anchor
0743477316,Oyster Blues : A Novel,Michael McClelland,2004,Pocket Star
0486411052,Great Short Poems (Dover Thrift Editions),Paul Negri,2000,Dover Publications
0060292873,Love That Dog,Sharon Creech,2001,Joanna Cotler
0684865513,No Heroes : A Memoir of Coming Home,Chris Offutt,2002,Simon &amp; Schuster
0553268465,The Dogs of War,Frederick Forsyth,1982,Bantam Books
0881843520,Time Out of Joint,Philip K. Dick,1987,Pub Group West
0849942926,Thunder of Heaven,Ted Dekker,2002,W Publishing Group
842533411X,Hannibal,Thomas Harris,1999,"Editorial Grijalbo, S.A. de C.V."
0679723412,Pnin (Vintage International),VLADIMIR NABOKOV,1989,Vintage
0883639335,"Great Rubber Stamping: Ideas, Tips and Techniques",Judy Ritchie,2001,Hugh Lauter Levin Associates
1573221368,Tipping the Velvet,Sarah Waters,1999,Riverhead Books
0786011629,Vanished,T. J. MacGregor,2001,Kensington Publishing Corporation
0679404457,"Molly Ivins Can't Say That, Can She?",Molly Ivins,1991,Random House Inc
0312971400,The Twelve,Howard Kaminsky,2000,St. Martin's Press
0804104549,Riding the Iron Rooster: By Train Through China,Paul Theroux,1990,Ivy Books
0060177721,Finding Moon,Tony Hillerman,1995,Harpercollins
1575668343,Father's Day Murder: A Lucy Stone Mystery (Lucy Stone Mysteries (Hardcover)),Leslie Meier,2003,Kensington Publishing Corporation
1857029402,Brokeback Mountain,Annie Proulx,0,Fourth Estate
0345435753,"Morgawr (The Voyage of the Jerle Shannara, Book 3)",TERRY BROOKS,2003,Del Rey
0316031054,Little Women : From the Original Publisher,Louisa May Alcott,1994,"Little, Brown"
0740732986,When Body Language Goes Bad: A Dilbert Book,Scott Adams,2003,Andrews McMeel Publishing
0515135690,Bitter Instinct,Robert W. Walker,2003,Jove Books
0425166848,Angel Landing,Alice Hoffman,1999,Berkley Publishing Group
2253140708,Vacances dans le coma,FrÃ?Â©dÃ?Â©ric Beigbeder,1997,LGF
0395826578,The Evolution of Jane,Cathleen Schine,1998,Houghton Mifflin Co
0553802585,"I, Richard",ELIZABETH GEORGE,2002,Bantam
0399139079,Lyon's Pride (Rowan),Anne McCaffrey,1994,Berkley Pub Group
0380791854,Lathe of Heaven,Ursula K. Le Guin,1997,Eos
0743410513,The Unburied,Charles Palliser,2000,Washington Square Press
0892965886,The Hook,Donald E. Westlake,2000,Mysterious Press
0486406466,Songs for the Open Road : Poems of Travel and Adventure (Dover Thrift Editions),The American Poetry &amp; Literacy Project,1999,Dover Publications
0486295583,The Adventure of the Dancing Men and Other Sherlock Holmes Stories (Dover Thrift Editions),Sir Arthur Conan Doyle,1997,Dover Publications
0486294501,Native American Songs and Poems: An Anthology (Dover Thrift Editions),Brian Swann,1996,Dover Publications
0892966777,Death of a Village,M. C. Beaton,2003,Warner Books
0590469215,Steal Away,Jennifer Armstrong,1993,Scholastic
0446377651,Side Tracked Home Executives,Pam Young,1983,Warner Books
0192816209,"Alice's Adventures in Wonderland ; And, Through the Looking-Glass and What Alice Found There (The World's Classics)",Lewis Carroll,1983,Oxford University Press
3548600808,Elementarteilchen.,Michel Houellebecq,2001,List Taschenbuchverlag
0312300565,Queen Bee of Mimosa Branch: A Novel,Haywood Smith,2002,St. Martin's Press
0743442539,The Spy Who Came In from the Cold,John le Carre,2001,Scribner
0385334222,Back to the Moon: A Novel,Homer Hickam,1999,Bantam Dell Pub Group
0552150738,Angels and Demons,Dan Brown,2003,Corgi Adult
0609805339,Dogs That Know When Their Owners Are Coming Home: And Other Unexplained Powers of Animals,Rupert Sheldrake,2000,Three Rivers Press (CA)
0140250832,House of Sleep,Jonathan Coe,0,Penguin Putnam~trade
0312498349,The Lord God Made Them All,James Herriot,1981,St. Martin's Press
0393314251,The Mismeasure of Man,Stephen Jay Gould,1996,W. W. Norton &amp; Company
0449909859,The Wild Girls Club: Tales from Below the Belt,Anka Radakovich,1995,Ballantine Books
1558703616,Confessions of an Organized Homemaker: The Secrets of Uncluttering Your Home and Taking Control of Your Life,Deniece Schofield,1994,Betterway Books
8427200153,Diez negritos,Agatha Christie,1983,Distribooks Inc
0312970048,Zero Option,Peter T. Deutermann,1999,Hambledon &amp; London
0786863005,The Pied Piper,Ridley Pearson,1998,Hyperion Books
0786918047,"Time of the Twins (Dragonlance Legends, Vol. 1)",Margaret Weis,2001,Wizards of the Coast
0964060566,Mouse Tales: A Behind-The-Ears Look at Disneyland,David Koenig,1995,Bonaventure Press.
0802136680,This Boy's Life: A Memoir,Tobias Wolff,2000,Grove Press
0886777100,Otherland: City Of Golden Shadow,Tad Williams,1996,Daw Books
0385022670,Foxfire 2 (Foxfire (Paperback)),ELIOT WIGGINTON,1973,Anchor
0312962444,The Judgment (Judgement),William J Coughlin,1999,St. Martin's Press
0684841894,My Husband Said He Needed More Space So I Locked Him Outside : Reflections on Life by Women,Cynthia Walker Mccullough,1998,Fireside
0140620265,David Copperfield (Penguin Popular Classics),Charles Dickens,1994,Penguin Books Ltd
0425170357,Trick of Light,David Hunt,1999,Berkley Publishing Group
1551666286,Defense For The Devil (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2000,Mira
0385301421,Maximum Bob,Elmore Leonard,1991,Bantam Dell Pub Group
0345329821,Raney,Clyde Edgerton,1992,Ballantine Books
0609808184,My First Presidentiary : A Scrapbook by George W. Bush,Modern Humorist,2001,Three Rivers Press
076530158X,The Machine Crusade (Dune Series),Brian Herbert,2003,Tor Books
0345362462,Grumbles from the Grave,Robert A. Heinlein,1989,Ballantine Books
0375422331,Isaac Newton,JAMES GLEICK,2003,Pantheon
0679776192,Tao Te Ching,Lao Tsu,1997,Vintage Books USA
0965307816,The Home Storage Checklist,Allen K. LeClaire,1996,Griffin Pub
0192839659,Jane Eyre (Oxford World's Classics),Charlotte Bronte,2001,Oxford University Press
0375507167,It Takes a Worried Man: A Memoir,Brendan Halpin,2002,Villard Books
0060975288,Crow and Weasel,Barry Lopez,1993,HarperCollins
1403395241,Bury Me With Soldiers: One Grunt's Honest Story About Vietnam,C. W. Standiford,2003,Authorhouse
1561483176,Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,Dawn J. Ranck,2001,Good Books
0679767223,My Dog Skip,Willie Morris,1996,Vintage Books USA
077109955X,Such Is My Beloved (New Canadian Library),MORLEY CALLAGHAN,1989,New Canadian Library
0590228544,The Terrorist (Point),Caroline B. Cooney,1999,Scholastic
0451933028,The Green Mile: The Complete Six Part Novel,Stephen King,1996,Signet Book
0312983395,The Sunbird,Wilbur Smith,2002,St. Martin's Paperbacks
0380727617,Who in Hell Is Wanda Fuca?,G.M. Ford,1996,Avon
0671633198,SOMEBODY'S DARLING (A Touchstone Book),Larry McMurtry,1987,Simon &amp; Schuster
0688084796,How to Make the World a Better Place: A Guide to Doing Good,Jeffrey Hollender,1990,Quill
0886777917,A Point of Honor,Dorothy J. Heydt,1998,Daw Books
0843949651,Noble Intentions,Katie Macalister,2002,Leisure Books
0756401666,Sun In Glory (A Valdemar Anthology),Mercedes Lackey,2003,Daw Books
0374373620,A Swiftly Tilting Planet,Madeleine L'Engle,1978,"Farrar, Straus and Giroux (BYR)"
0449212254,The Raven in the Foregate (Brother Cadfael Mysteries),Ellis Peters,1988,Fawcett Books
0449207013,Devil's Novice (Brother Cadfael Mysteries),Ellis Peters,1989,Fawcett Books
0316084905,Athenais: The Life of Louis XIV Mistress-the Real Queen of France,Lisa Hilton,2002,"Little, Brown"
067172052X,FALLEN ANGELS,Larry Niven,1991,Baen
0812968190,Revenge: A Novel,Stephen Fry,2003,Random House Trade
0451193008,Shroud for the Archbishop: A Sister Fidelma Mystery (Sister Fidelma Mysteries (Paperback)),Peter Tremayne,1998,Signet Book
0843946172,"Frankly, My Dear (Timeswept)",Sandra Hill,1999,Leisure Books
0452278236,Terry: My Daughter's Life-And-Death Struggle With Alcoholism,George McGovern,1997,Plume Books
0886775914,Catfantastic III (Daw Book Collectors),Andre Norton,1994,Daw Books
0449130703,The Number of the Beast,Robert Heinlein,1989,Fawcett Books
958704049X,El hombre duplicado,Jose Saramago,2002,"Alfaguara Ediciones, S.A. (Spain)"
1572460733,The Law,Frederic Bastiat,1998,Foundation for Economic Education
0440225914,The Burning Road: A Novel,Ann Benson,2000,Dell Publishing Company
8423309835,1984 (Spanish Language Edition),George Orwell,1984,Destino Ediciones
3453063554,Das Phantom.,Susan Kay,1993,Heyne
0684174693,Farewell to Arms,Ernest Hemingway,0,Simon Schuster Trade
2253004685,"Vent d'est, vent d'ouest",Pearl Buck,1972,LGF
0201734303,Dreamweaver 4 for Windows and Macintosh: Visual QuickStart Guide,J. Tarin Towers,2001,Peachpit Press
0525947612,Everyone Dies: A Kevin Kerney Novel (Kevin Kerney Novels (Hardcover)),Michael McGarrity,2003,Dutton Books
0679869832,Lost City (Dinotopia),SCOTT CIENCIN,1996,Random House Books for Young Readers
2070376117,Harold et Maude,Colin Higgins,1984,Gallimard
2846260338,American gods,Neil Gaiman,2002,Au Diable Vauvert
0553051881,Close Pursuit: A Week in the Life of an Nypd Homicide Cop,Carsten Stroud,1987,Bantam Dell Pub Group
2253017191,Hamlet - Othello - Macbeth,William Shakespeare,1972,LGF
2205054252,"Le Combat ordinaire, tome 1",Larcenet,2003,Dargaud
2070404021,Belle Du Seigneur,Albert Cohen,2000,Distribooks Int'l+inc
3453034511,Das Erbe des Zauberers. Ein Roman aus der bizarren Scheibenwelt,Terry Pratchett,2000,Heyne
156971634X,Murder Mysteries,P. Craig Russell,2002,Last Gasp
1563891387,"Brief Lives (Sandman, Book 7)",Neil Gaiman,1995,DC Comics
0192812173,Malory: Complete Works,"Thomas, Sir Malory",1977,Oxford University Press
0671617605,Anne Frank the Diary of a Young Girl,Anne Frank,1982,Pocket Books
0802133312,The Wild Boys: A Book of the Dead,William S. Burroughs,1992,Grove Press
0312972849,Aquarius Descending (Elizabeth Chase Mysteries),Martha C. Lawrence,2000,St. Martin's Minotaur
0821772414,Catch of the Day,Marcia Evanick,2002,Zebra Books
0575058080,Maskerade,Terry Pratchett,1995,McClelland &amp; Stewart Ltd
0312982860,True Believers : A Gregor Demarkian Mystery (A Gregor Demarkian Mystery),Jane Haddam,2002,St. Martin's Minotaur
0330376284,Haunted,James Herbert,2000,Pan
0330482203,Dry Bones That Dream (An Inspector Banks Mystery),Peter Robinson,2001,Pan Macmillan
189206524X,Gumshoe Gorilla,Keith Hartman,2001,Meisha Merlin Publishing
0142437344,A Portrait of the Artist As a Young Man (Penguin Classics),James Joyce,2003,Penguin Books
0886777992,This Alien Shore,C. S. Friedman,2004,Daw Books
0152802177,Stellaluna,Janell Cannon,1993,Harcourt Children's Books
0807840165,Interpreting Our Heritage (Chapel Hill Books),Freeman Tilden,1977,University of North Carolina Press
0816039798,The Encyclopedia of Serial Killers,Michael Newton,2000,Facts on File
0679463038,The Progress Paradox : How Life Gets Better While People Feel Worse,GREGG EASTERBROOK,2003,Random House
0385333471,"God Bless You, Mr. Rosewater: Or Pearls Before Swine",Kurt Vonnegut,1998,Delta
0394729854,You and Your Aquarium,Dick Mills,1986,Alfred A. Knopf
0809239973,101 Ways to Make Your Child Feel Special,Vicki  Lansky,1991,McGraw-Hill/Contemporary Books
0812504577,Frankenstein,Mary Wollstonecraft Shelley,1989,Tor Books
0895773465,"Practical Problem Solver: Substitutes, Shortcuts and Solutions for Making Life Easier",Reader's Digest,1991,Putnam Pub Group
0316034347,The Wild Inside: Sierra Club's Guide to the Great Indoors,Linda Allison,1988,Little Brown &amp; Co
0375400060,Toward the End of Time,John Updike,1997,Alfred A. Knopf
0743236009,"Sex, Drugs, and Cocoa Puffs : A Low Culture Manifesto",Chuck Klosterman,2003,Scribner
0916124142,Sharing Nature With Children,Joseph Bharat Cornell,1979,Crystal Clarity Pubs
0385263279,The Flight of the Iguana: A Sidelong View of Science and Nature,David Quammen,1989,Anchor Books/Doubleday
039330700X,Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,1990,W. W. Norton &amp; Company
0393302008,Hens Teeth and Horses Toes,Stephen Jay Gould,1984,W. W. Norton &amp; Company
0671724991,LUCY: THE BEGINNINGS OF HUMANKIND,Donald Johanson,1990,Simon &amp; Schuster
0451628314,King Solomon's Ring,Konrad Z. Lorenz,1991,New Amer Library (Mm)
0345288238,Broca's Brain,Sagan,1980,Not Avail
0553270885,Myths to Live by,Joseph Campbell,1984,Bantam Books
0679732578," Good Wives: Image and Reality in the Lives of Women in Northern New England, 1650-1750",Laurel Thatcher Ulrich,1991,Vintage Books USA
0804706069,A Daughter of Han: The Autobiography of a Chinese Working Woman,Lao Toai-Toai Ning,1990,Stanford University Press
0141181230,Siddhartha: An Indian Tale (Penguin Twentieth-Century Classics),Hermann Hesse,1999,Penguin Books
0517548747,"Life, the Universe and Everything",Douglas Adams,1986,Random House Value Pub
0060528370,A People's History of the United States : 1492-Present (Perennial Classics),Howard Zinn,2003,Perennial Classics
0671024434,"I, Q (Star Trek The Next Generation)",John de Lancie,1999,Star Trek
0380729180,Veronica: A Novel,Nicholas Christopher,1997,Avon Books
0060921056,Letters from the Earth,Mark Twain,1991,Perennial
0380704625,Joe and Marilyn,Roger Kahn,1988,Harper Mass Market Paperbacks (Mm)
0525934855,Marilyn: The Last Take,Peter Harry Brown,1992,Penguin USA
014062063X,Dracula (Penguin Popular Classics),Bram Stoker,1994,Penguin Books Ltd
0486282414,Selected Canterbury Tales (Dover Thrift Editions),Geoffrey Chaucer,1994,Dover Publications
0671795619,Sarek,A.C. Crispin,1994,Pocket Books
0671019783,New Frontier (Star Trek New Frontier),Peter David,1998,Star Trek
0671042432,"Restoration (Star Trek New Frontier: Excalibur, Book 3)",Peter David,2000,Star Trek
0671042394,"Renaissance (Star Trek New Frontier: Excalibur, Book 2)",Peter David,2000,Star Trek
0671042408,"Being Human (Star Trek New Frontier, No 12)",Peter David,2001,Star Trek
0380002094,Macroscope,Piers Anthony,1983,Harper Mass Market Paperbacks (Mm)
0553351354,Illusion,Paula Volsky,1992,Bantam Books
0140390197,The Scarlet Letter: A Romance (The Penguin American Library),Nathaniel Hawthorne,1993,Penguin Books
0906710510,Garfield Pocket Books: What's Cooking? (Garfield Pocket Books),Jim Davis,1984,Ravette Publishing Ltd
0451523644,Importance of Being Earnest,Oscar Wilde,1985,Signet Book
0425194507,Fox Evil,Minette Walters,2004,Berkley Publishing Group
0552141275,Bravo Two Zero,Andy McNab,1994,Bantam Doubleday Dell
0385264763,Midaq Alley,Naguib Mahfouz,1992,Anchor
1841210307,Stargirl (Orchard Black Apple S.),Jerry Spinelli,2001,Orchard Books
0450588866,Dolores Claiborne,Stephen King,0,Trafalgar Square
0786806532,Daughters of the Moon: Goddess of the Night - Book #1 (Daughters of the Moon),Lynne Ewing,2000,Hyperion Books for Children
0399136649,The Cat Who Knew a Cardinal,Lilian Jackson Braun,1991,Putnam Pub Group
0385098855,How to Trace Your Family Tree: A Complete and Easy to Understand Guide for the Beginner.,American Genealogical Research Institute,1975,Main Street Books
0670869082,Miriam's Kitchen: A Memoir,Elizabeth Ehrlich,1997,Penguin USA
0600572307,Worlds Greatest Ghosts,Roger Boar,0,Hamlyn Publ Group Ltd
0380778793,Nutty As a Fruitcake (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1996,Avon
0752844148,Mortal Causes (Inspector Rebus S.),Ian Rankin,2001,Orion mass market paperback
0312241259,For Kings and Planets,Ethan Canin,1999,Picador USA
0345448367,Darwin's Children,GREG BEAR,2004,Del Rey
0553247778,One Day in the Life of Ivan Denisovich,Alexander Solzhenitsyn,1984,Bantam Classics
0671027743,In the Red,Regan C. Ashbaugh,2000,Pocket
0140013873,The Annotated Alice,Lewis Carroll,1993,Outlet
0688155081,The Miracle Strain: A Genetic Thriller,Michael Cordy,1997,Harpercollins
3442435617,Microsklaven.,Douglas Coupland,1999,Goldmann
0345422570,Black Horses for the King,Anne McCaffrey,1998,Del Rey Books
0553582208,Uncatalogued (Booklover's Mysteries),Julie Kaewert,2002,Crimeline
0888947216,Disappearing Moon Cafe,Sky Lee,0,Douglas Mcintyre/see Pgw
0385333714,Lost in the Funhouse,Bill Zehme,1999,Delacorte Press
0553235559,Lonesome Gods,Louis L'Amour,1984,Bantam Books
014001599X,A Damsel in Distress,P. G. Wodehouse,2001,Penguin Books
0812574729,"Into the Darkness (World at War, Book 1)",Harry Turtledove,2000,Tor Fantasy
3596220203,Zen und die Kunst ein Motorrad zu warten. Ein Versuch Ã?Â¼ber Werte,Robert M. Pirsig,1978,"Fischer (Tb.), Frankfurt"
0312866380,The Protocol,April Christofferson,1999,St Martins Pr
3596130751,Die NornenkÃ?Â¶nigin.,Tad Williams,1996,"Fischer (Tb.), Frankfurt"
0553579304,And Justice There Is None,Deborah Crombie,2003,Bantam Books
3442414199,Generation X. Geschichten fÃ?Â¼r eine immer schneller werdende Kultur.,Douglas Coupland,1994,Goldmann
9681501764,Viejo Y El Mar,E. Hemingway,1996,Giron Spanish Books Distributors
9681500830,El Principito/Little Prince,Antonie De Saint,1998,"Editores Mexicanos Unidos, S.A."
0812571118,Hope of Earth (Geodyssey),Piers Anthony,1998,Tor Fantasy
0671742922,BLUEST EYE,Toni Morrison,1991,Pocket
0399507906,The Herbal Body Book,Jeanne Rose,1976,Berkley Pub Group
0380018136,The Planet That Wasn't There,Isaac Asimov,1983,Avon Books
0812550919,Shame of Man (Geodyssey),Piers Anthony,1995,Tor Fantasy
0553290991,Nightfall (Bantam Spectra Book),Isaac Asimov,1991,Spectra Books
0812519671,"The Towers of the Sunset (Recluce series, Book 2)",L. E. Modesitt Jr.,1993,Tor Fantasy
0553100157,Breakfast in Bed,Sandra Brown,1996,Bantam Dell Pub Group
0451177029,Ripper,Michael Slade,1994,Signet Book
0060968966,Linda Goodman's Love Signs : A New Approach to the Human Heart,Linda Goodman,1992,Perennial
0060090251,Founding Mothers: The Women Who Raised Our Nation,Cokie Roberts,2004,William Morrow
037321880X,Men of the West: Harden/ Evan/ Donavan,Diana Palmer,2004,Silhouette
0316103098,Bloom County Babylon : Five Years of Basic Naughtiness (Bloom County),Berkeley Breathed,1986,"Little, Brown"
0316107549,Classics of Western Literature: Bloom County 1986-1989,Berke Breathed,1990,Little Brown &amp; Co
1550376411,Foo (Annikins #16),Richard Thompson,2000,Annick Press
0345467566,When in Rome...,GEMMA TOWNLEY,2004,Ballantine Books
0671010212,The Ramses 2: the Temple of a Million Years (Ramses),Christian Jacq,1998,Simon &amp; Schuster (Trade Division)
0684831279,MOONLIGHT BECOMES YOU (LARGE PRINT EDITION),Mary Higgins Clark,1996,Simon &amp; Schuster
1573245577,Ladies' Room Reader: The Ultimate Women's Trivia Book,Alicia Alvrez,2001,Conari Press
0440236029,Lilies on the Lake,Katherine Kingsley,2001,Dell Publishing Company
0812927362,Living Faith,Jimmy Carter,1996,Times Books
156025355X,The Betrayal of America: How the Supreme Court Undermined the Constitution and Chose Our President,Vincent Bugliosi,2001,Thunder's Mouth Press
0743467566,The Last Victim in Glen Ross,M.G. Kincaid,2003,Pocket
1573245232,Buddhist Acts of Compassion,Pamela Bloom,2000,Conari Press
0771089554,The Innocent Traveller (New Canadian Library),Ethel Wilson,1995,New Canadian Library
0425191206,While She Was Sleeping,Suzanne Forster,2003,Berkley Publishing Group
1565122062,A Virtuous Woman,Kaye Gibbons,1997,Algonquin Books of Chapel Hill
0340693088,Talk of the Town,Ardal Ohanlon,0,Trafalgar Square
1575664674,Yesterday,Fern Michaels,1999,Kensington Publishing Corp.
1551664151,Shocking Pink,Erica Spindler,1998,Mira
052594270X,Critical Conditions,Stephen White,1998,Penguin USA
0394896955,"The Bravest Dog Ever: The True Story of Balto (Step-Into-Reading, Step 3)",Natalie Standiford,1989,Random House Books for Young Readers
0805000313,Never Sniff a Gift Fish,Patrick J. McManus,1989,Owl Books (NY)
0446403695,The Summons (Peter Diamond Mystery),Peter Lovesey,1996,Warner Books
0312084986,All Creatures Great and Small,James Herriot,1992,St. Martin's Press
0525460543,The Prince of Egypt Collector's Edition Storybook,Walt Disney,0,Dreamworks Entertainment
0330492047,The Hitch Hiker's Guides: a Trilogy in Four Parts: a Trilogy in Four Parts (The Hitch Hiker's Guide to the Galaxy),Douglas Adams,2002,Pan Macmillan
0345443381,Mutant,Peter Clement,2002,Fawcett Books
0449211096,Blue Highways,William Least Heat-Moon,1986,Fawcett Books
0060514957,"Killer Smile (Scottoline, Lisa)",Lisa Scottoline,2004,HarperCollins
0880705744,God Came Near,Max Lucado,1987,Multnomah
1888306149,Miserly Moms : Living on One Income in a Two Income Economy,Jonni McCoy,1996,Full Court Press
0451524233,Tarzan of the Apes (Tarzan),Edgar Rice Burroughs,1990,Signet Classics
1573221872,Anger: Wisdom for Cooling the Flames,Nhat Hanh,2001,Riverhead Books
0060919884,The Writing Life,Annie Dillard,1990,Perennial
0060915439,Holy the Firm,Annie Dillard,1988,Perennial
0689828683,The Landry News,Andrew Clements,2000,Aladdin
0345443276,Silent Partner,STEPHEN FREY,2004,Fawcett Books
0374404143,Annie on My Mind,Nancy Garden,1992,"Farrar, Straus and Giroux (BYR)"
0307301443,Disney's Aladdin Magic Carpet Ride (Little Golden Book),Teddy Slater Margulies,1995,Random House Childrens Books
0515114030,Until Tomorrow,Jill Marie Landis,1996,Jove Books
0373484631,Brides to Be (2 Novels in 1),Diana Palmer,2002,Silhouette
0312983131,If She Should Die,Carlene Thompson,2003,St. Martin's Paperbacks
1551668963,Used - To - Be Lovers,Linda Lael Miller,2002,Mira
0061099287,Spy Sinker,Len Deighton,1991,HarperTorch
0440500702,"Schrodinger's Cat Trilogy : ""The Universe Next Door"", ""The Trick Top Hat"", &amp; ""The Homing Pigeons""",ROBERT A. WILSON,1988,Dell
0380711923,The Man Who Was Poe (rack),Avi,1991,HarperTrophy
0671002759,The Red Badge of Courage (Enriched Classics),Stephen Crane,1996,Pocket
0553571931,The Chatham School Affair,Thomas H. Cook,1997,Bantam Books
2253003220,Jai Quinze Ans Et Je Ne Veux Pas Mourir,Christine Arnothy,0,Livre De Poche French
0373262361,Family Practice (Susan Wren Mystery),Charlene Weir,1997,Worldwide Library
068481871X,DOG LOVE,Marjorie Garber,1996,Simon &amp; Schuster
014044615X,The Count of Monte Cristo (Penguin Classics),Alexandre Dumas,1997,Penguin Books
014011291X,In Patagonia,Bruce Chatwin,1988,Penguin Books
0451522605,The Winter's Tale (Signet Classic Shakespeare (Hardcover)),William Shakespeare,1988,Signet Classics
0684814528,The BEST AMERICAN POETRY 1997 (Paper),James Tate,1997,Scribner
0671578456,The Apocalypse Troll,David Weber,2000,Baen
3257227795,Rettungsversuch fÃ?Â¼r Piggy Sneed. Sechs ErzÃ?Â¤hlungen und ein Essay.,John Irving,1995,Diogenes Verlag
1590580176,Primitive Secrets,Deborah Turrell Atkinson,2002,Poisoned Pen Press
1590580141,Hot Pursuit,Nora Kelly,2002,Poisoned Pen Press
1576738469,The Protector (O'Malley #4),Dee Henderson,2001,Multnomah
3596211166,Daniela: Roman,Luise Rinser,1970,Fischer Taschenbuch Verlag
1570620636,"Zen Flesh, Zen Bones (Shambhala Pocket Classics)",PAUL REPS,1994,Shambhala
1860464955,Eucalyptus,Murray Bail,1999,Havill Pr
0425183394,Casual Rex: A Novel,Eric Garcia,2002,Berkley Publishing Group
038072846X,Last Call,Tim Powers,1996,Perennial
0385493622,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,1998,Anchor Books/Doubleday
0449212629,Blood Sport,Dick Francis,1990,Fawcett Books
0060170123,A Suitable Boy: A Novel,Vikram Seth,1993,Harpercollins
0446673706,Indian Killer,Sherman Alexie,1998,Warner Books
0590975986,Romeo &amp; Juliet (Scholastic),William Shakespeare,1969,"Scholastic, Inc."
059042520X,Five Little Peppers and How They Grew (Apple Classics),Margaret Sidney,1989,Scholastic Paperbacks
055337849X,The Brothers K,David James Duncan,1996,Bantam
1567183042,"Embracing the Moon: A Witch's Guide to Rituals, Spellcrafts and Shadow Work",Yasmine Galenorn,1998,Llewellyn Publications
0345347633,Deryni Rising (Chronicles of the Deryni),Katherine Kurtz,1990,Del Rey Books
0435905252,Things Fall Apart (African Writers Series),Chinua Achebe,1996,Heinemann
0553277391,Jubal Sackett : The Sacketts (Sacketts),Louis L'Amour,1986,Bantam
0140441204,Therese Raquin (Penguin Classics),Emile Zola,1981,Penguin Books
0805239677,Natural Acts: A Sidelong View of Science and Nature,David Quammen,1985,Random House Inc
0380801523,Etiquette for Outlaws,Rob Cohen,2001,Perennial Currents
0670032573,"Wizard and Glass (The Dark Tower, Book 4)",Stephen King,2003,Viking Books
0452279623,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,1997,New American Library
0452279615,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Plume Books
0345300556,Heechee Rendezvous,Frederick Pohl,1985,Del Rey Books
0874831709,Great American Mysteries,E. Randall Floyd,1991,August House Publishers
078601475X,The Forgotten,Tamara Thorne,2002,Pinnacle Books
0425053121,"God Emperor of Dune (Dune Chronicles, Book 4)",Frank Herbert,1982,Berkley Books
0385485662,The One to One Future: Building Relationships One Customer at a Time (One to One),Don Peppers,1997,Currency
0061032417,Foley is Good: And the Real World is Faker Than Wrestling,Mick Foley,2002,ReganBooks
0671023012,"EVIL POWERS FEAR STREET COLLECTORS EDITION 5 : RUNAWAY THE MIND READER THE THRILL CLUB (Fear Street, Collectors Edition , No 5)",R.L. Stine,1998,Simon Pulse
0312975724,Hunting Evil,Carlton Smith,2000,St. Martin's True Crime Classics
0451409787,Valentine,Tom Savage,2001,Onyx Books
